datetime,iso_year,iso_week,total_population,total_cases_formula,inc_per_10k,temp_mean,temp_max,temp_min,rh_mean,rh_max,rh_min
2015-06-01,2015,23,5131942,439.0,0.8554266591477456,14.376190476190475,20.2,7.7,65.69047619047619,98,39
2015-06-08,2015,24,5131942,0.0,0.0,14.473214285714286,23.2,9.4,66.08333333333333,92,38
2015-06-15,2015,25,5131942,1018.0,1.983654530779966,14.801190476190476,22.5,7.6,64.75,97,39
2015-06-22,2015,26,5131942,399.0,0.7774834555807529,16.1375,22.9,11.1,73.0952380952381,99,45
2015-06-29,2015,27,5131942,0.0,0.0,18.30952380952381,25.2,11.2,67.30357142857143,98,44
2015-07-06,2015,28,5131942,0.0,0.0,15.238095238095237,21.1,10.2,74.0297619047619,100,36
2015-07-13,2015,29,5131942,0.0,0.0,14.823809523809524,21.4,7.1,79.57142857142857,100,50
2015-07-20,2015,30,5131942,0.0,0.0,16.85238095238095,23.4,12.7,78.01785714285714,98,50
2015-07-27,2015,31,5131942,0.0,0.0,16.357142857142858,20.9,10.7,79.625,99,51
2015-08-03,2015,32,5131942,0.0,0.0,18.16488095238095,25.6,11.2,77.45833333333333,100,52
2015-08-10,2015,33,5131942,0.0,0.0,17.603571428571428,27.0,12.2,71.60119047619048,99,46
2015-08-17,2015,34,5131942,0.0,0.0,15.620833333333334,23.7,8.6,74.7202380952381,100,47
2015-08-24,2015,35,5131942,0.0,0.0,16.874404761904763,24.9,10.9,78.2202380952381,98,39
2015-08-31,2015,36,5131942,0.0,0.0,13.92797619047619,19.3,9.7,84.85714285714286,99,54
2015-09-07,2015,37,5131942,0.0,0.0,12.973214285714286,18.6,7.8,82.74404761904762,100,55
2015-09-14,2015,38,5131942,0.0,0.0,14.307142857142857,22.2,8.1,79.20238095238095,99,46
2015-09-21,2015,39,5131942,0.0,0.0,12.835714285714285,20.7,7.4,88.625,100,64
